order_id,customer_id,order_date,order_status
1,416,2026-04-03 14:13:14.759448,cancelled
2,152,2026-04-03 14:13:14.759448,delivered
3,1275,2026-04-03 14:13:14.759448,shipped
4,1233,2026-04-03 14:13:14.759448,delivered
5,317,2026-04-03 14:13:14.759448,delivered
6,129,2026-04-03 14:13:14.759448,created
7,1673,2026-04-03 14:13:14.759448,delivered
8,853,2026-04-03 14:13:14.759448,created
9,742,2026-04-03 14:13:14.759448,delivered
10,789,2026-04-03 14:13:14.759448,paid
11,339,2026-04-03 14:13:14.759448,delivered
12,1285,2026-04-03 14:13:14.759448,created
13,210,2026-04-03 14:13:14.759448,cancelled
14,447,2026-04-03 14:13:14.759448,cancelled
15,742,2026-04-03 14:13:14.759448,paid
16,1469,2026-04-03 14:13:14.759448,created
17,6,2026-04-03 14:13:14.759448,delivered
18,1431,2026-04-03 14:13:14.759448,delivered
19,1558,2026-04-03 14:13:14.759448,delivered
20,1413,2026-04-03 14:13:14.759448,shipped
21,1665,2026-04-03 14:13:14.759448,cancelled
22,193,2026-04-03 14:13:14.759448,cancelled
23,604,2026-04-03 14:13:14.759448,shipped
24,165,2026-04-03 14:13:14.759448,shipped
25,917,2026-04-03 14:13:14.759448,refunded
26,617,2026-04-03 14:13:14.759448,delivered
27,886,2026-04-03 14:13:14.759448,cancelled
28,232,2026-04-03 14:13:14.759448,paid
29,1423,2026-04-03 14:13:14.759448,cancelled
30,1038,2026-04-03 14:13:14.759448,delivered
31,725,2026-04-03 14:13:14.759448,cancelled
32,370,2026-04-03 14:13:14.759448,created
33,1323,2026-04-03 14:13:14.759448,created
34,1406,2026-04-03 14:13:14.759448,paid
35,285,2026-04-03 14:13:14.759448,paid
36,1320,2026-04-03 14:13:14.759448,cancelled
37,594,2026-04-03 14:13:14.759448,shipped
38,76,2026-04-03 14:13:14.759448,shipped
39,1701,2026-04-03 14:13:14.759448,refunded
40,267,2026-04-03 14:13:14.759448,shipped
41,1294,2026-04-03 14:13:14.759448,created
42,1703,2026-04-03 14:13:14.759448,refunded
43,1131,2026-04-03 14:13:14.759448,delivered
44,950,2026-04-03 14:13:14.759448,created
45,449,2026-04-03 14:13:14.759448,paid
46,800,2026-04-03 14:13:14.759448,paid
47,899,2026-04-03 14:13:14.759448,cancelled
48,1536,2026-04-03 14:13:14.759448,cancelled
49,1675,2026-04-03 14:13:14.759448,paid
50,1501,2026-04-03 14:13:14.759448,paid
51,1132,2026-04-03 14:13:14.759448,shipped
52,883,2026-04-03 14:13:14.759448,shipped
53,1347,2026-04-03 14:13:14.759448,cancelled
54,613,2026-04-03 14:13:14.759448,created
55,983,2026-04-03 14:13:14.759448,created
56,1466,2026-04-03 14:13:14.759448,cancelled
57,963,2026-04-03 14:13:14.759448,cancelled
58,1629,2026-04-03 14:13:14.759448,paid
59,116,2026-04-03 14:13:14.759448,cancelled
60,425,2026-04-03 14:13:14.759448,created
61,1127,2026-04-03 14:13:14.759448,cancelled
62,996,2026-04-03 14:13:14.759448,paid
63,742,2026-04-03 14:13:14.759448,cancelled
64,1398,2026-04-03 14:13:14.759448,paid
65,955,2026-04-03 14:13:14.759448,delivered
66,904,2026-04-03 14:13:14.759448,cancelled
67,1764,2026-04-03 14:13:14.759448,refunded
68,828,2026-04-03 14:13:14.759448,delivered
69,1321,2026-04-03 14:13:14.759448,cancelled
70,910,2026-04-03 14:13:14.759448,refunded
71,1428,2026-04-03 14:13:14.759448,refunded
72,953,2026-04-03 14:13:14.759448,cancelled
73,761,2026-04-03 14:13:14.759448,cancelled
74,583,2026-04-03 14:13:14.759448,delivered
75,427,2026-04-03 14:13:14.759448,created
76,1040,2026-04-03 14:13:14.759448,paid
77,535,2026-04-03 14:13:14.759448,created
78,1061,2026-04-03 14:13:14.759448,cancelled
79,1563,2026-04-03 14:13:14.759448,refunded
80,127,2026-04-03 14:13:14.759448,cancelled
81,302,2026-04-02 14:13:14.759448,refunded
82,1249,2026-04-02 14:13:14.759448,cancelled
83,1467,2026-04-02 14:13:14.759448,refunded
84,1344,2026-04-02 14:13:14.759448,paid
85,1458,2026-04-02 14:13:14.759448,shipped
86,1748,2026-04-02 14:13:14.759448,paid
87,1747,2026-04-02 14:13:14.759448,shipped
88,183,2026-04-02 14:13:14.759448,created
89,532,2026-04-02 14:13:14.759448,refunded
90,1234,2026-04-02 14:13:14.759448,refunded
91,861,2026-04-02 14:13:14.759448,delivered
92,816,2026-04-02 14:13:14.759448,delivered
93,76,2026-04-02 14:13:14.759448,paid
94,1634,2026-04-02 14:13:14.759448,shipped
95,75,2026-04-02 14:13:14.759448,cancelled
96,1324,2026-04-02 14:13:14.759448,paid
97,6,2026-04-02 14:13:14.759448,cancelled
98,1208,2026-04-02 14:13:14.759448,paid
99,1448,2026-04-02 14:13:14.759448,cancelled
100,1320,2026-04-02 14:13:14.759448,refunded
101,979,2026-04-02 14:13:14.759448,cancelled
102,1100,2026-04-02 14:13:14.759448,created
103,1247,2026-04-02 14:13:14.759448,cancelled
104,1250,2026-04-02 14:13:14.759448,created
105,1022,2026-04-02 14:13:14.759448,paid
106,1053,2026-04-02 14:13:14.759448,created
107,405,2026-04-02 14:13:14.759448,shipped
108,562,2026-04-02 14:13:14.759448,delivered
109,1089,2026-04-02 14:13:14.759448,refunded
110,760,2026-04-02 14:13:14.759448,cancelled
111,236,2026-04-02 14:13:14.759448,cancelled
112,1191,2026-04-02 14:13:14.759448,delivered
113,962,2026-04-02 14:13:14.759448,paid
114,743,2026-04-02 14:13:14.759448,created
115,1687,2026-04-02 14:13:14.759448,refunded
116,634,2026-04-02 14:13:14.759448,delivered
117,681,2026-04-02 14:13:14.759448,shipped
118,1682,2026-04-02 14:13:14.759448,created
119,175,2026-04-02 14:13:14.759448,cancelled
120,1353,2026-04-02 14:13:14.759448,shipped
121,275,2026-04-02 14:13:14.759448,paid
122,199,2026-04-02 14:13:14.759448,paid
123,1569,2026-04-02 14:13:14.759448,cancelled
124,1126,2026-04-02 14:13:14.759448,created
125,1169,2026-04-02 14:13:14.759448,cancelled
126,1175,2026-04-02 14:13:14.759448,shipped
127,565,2026-04-02 14:13:14.759448,paid
128,1179,2026-04-02 14:13:14.759448,delivered
129,330,2026-04-02 14:13:14.759448,shipped
130,1103,2026-04-02 14:13:14.759448,refunded
