order_item_id,order_id,product_id,quantity,price
1,1,513,3,62.96
2,1,356,1,24.54
3,1,554,1,1694.15
4,1,294,3,12.5
5,1,631,1,38.32
6,2,417,2,29.99
7,2,581,2,147.84
8,2,57,1,252.7
9,2,404,2,67.64
10,2,361,2,123.0
11,3,378,2,54.53
12,3,325,2,188.67
13,3,54,1,48.4
14,3,245,1,21.39
15,3,550,2,30.02
16,4,712,1,32.57
17,4,120,2,350.32
18,4,265,2,45.93
19,5,366,1,492.99
20,5,559,3,18.39
21,5,7,3,38.06
22,5,489,1,90.59
23,5,763,2,74.99
24,6,698,2,101.22
25,6,281,2,286.73
26,6,139,3,57.24
27,6,636,2,182.4
28,6,83,2,260.25
29,7,327,2,33.84
30,7,655,2,42.94
31,8,716,1,5.77
32,8,718,3,519.12
33,8,258,1,78.8
34,9,660,1,60.13
35,9,671,3,251.48
36,9,589,1,37.21
37,10,246,2,104.68
38,10,118,2,38.69
39,11,110,2,96.13
40,11,392,3,164.68
41,11,588,2,60.03
42,11,201,2,47.34
43,11,239,3,184.26
44,12,565,1,28.57
45,12,33,1,117.64
46,12,320,2,50.18
47,12,3,3,473.68
48,13,587,1,67.08
49,13,198,2,139.37
50,13,273,1,425.55
51,13,443,1,119.17
52,13,397,2,129.88
53,14,527,3,167.48
54,15,216,1,131.19
55,16,84,2,17.07
56,16,594,1,43.65
57,16,688,1,24.08
58,17,382,1,341.01
59,18,347,3,1659.37
60,19,734,1,235.42
61,19,214,1,8.44
62,19,707,3,95.53
63,19,381,2,39.94
64,19,628,1,6.44
65,20,506,3,21.27
66,20,390,1,94.46
67,20,773,3,1006.41
68,20,703,3,326.87
69,21,178,3,303.36
70,22,547,3,48.56
71,22,451,2,30.49
72,22,607,1,220.79
73,23,776,2,30.02
74,24,398,1,44.74
75,24,643,1,65.63
76,24,70,1,110.8
77,24,704,1,28.7
78,24,637,2,103.8
79,25,222,1,31.63
80,25,791,2,37.35
81,25,342,3,137.74
82,26,322,1,49.26
83,26,60,3,164.57
84,26,568,2,21.06
85,26,747,1,61.06
86,27,714,3,125.26
87,28,412,1,23.58
88,29,250,2,14.38
89,29,3,3,473.68
90,29,615,2,134.39
91,29,559,1,18.39
92,29,180,2,1650.14
93,30,150,1,12.06
94,31,488,2,178.61
95,31,124,2,64.24
96,31,759,1,36.69
97,31,111,1,147.58
98,31,265,3,45.93
99,32,630,2,89.43
100,33,434,3,819.02
101,33,170,2,295.59
102,33,678,3,14.56
103,34,645,1,28.36
104,34,747,1,61.06
105,34,518,2,22.9
106,34,261,3,55.32
107,35,768,1,54.73
108,35,456,3,35.2
109,35,368,1,45.03
110,36,798,1,83.69
111,36,376,1,100.55
112,36,270,2,446.27
113,36,443,2,119.17
114,37,719,1,61.45
115,37,538,1,125.74
116,38,218,1,45.92
117,38,91,1,117.61
118,39,91,3,117.61
119,39,435,1,18.09
120,39,13,1,11.98
121,39,118,3,38.69
122,39,479,1,15.72
123,40,376,3,100.55
124,40,594,1,43.65
125,40,209,3,180.02
126,40,49,1,48.55
127,40,96,1,143.32
128,41,112,2,50.18
129,41,719,1,61.45
130,41,189,1,158.2
131,42,44,2,74.21
132,43,591,3,164.67
133,43,703,3,326.87
134,43,493,1,147.7
135,43,410,3,116.03
136,44,484,3,83.48
137,44,290,3,20.1
138,44,658,1,104.29
139,44,633,1,112.38
140,44,613,2,40.17
141,45,798,1,83.69
142,46,392,1,164.68
143,47,746,3,192.55
144,47,374,3,82.62
145,48,615,2,134.39
146,48,191,3,107.5
147,48,255,3,8.56
148,49,14,1,38.99
149,50,77,1,11.7
150,50,606,1,107.38
151,50,148,2,99.11
152,50,471,1,76.85
153,50,592,3,46.98
154,51,640,3,1917.63
155,51,288,2,1597.53
156,52,8,1,929.12
157,52,629,3,18.03
158,52,385,1,515.27
159,52,441,2,47.01
160,52,246,2,104.68
161,53,343,2,13.18
162,53,3,1,473.68
163,53,259,2,2.84
164,53,415,3,42.35
165,54,336,2,309.28
166,54,390,3,94.46
167,55,51,1,353.4
168,55,630,2,89.43
169,56,603,3,165.0
170,56,483,1,127.11
171,56,767,1,60.23
172,56,391,2,150.56
173,57,149,3,57.0
174,57,15,3,4.9
175,57,340,3,83.25
176,58,515,3,110.89
177,58,598,3,814.01
178,58,633,3,112.38
179,59,673,2,55.83
180,59,132,3,33.22
181,59,503,2,8.15
182,59,500,1,64.32
183,60,463,3,25.0
184,60,349,3,63.13
185,60,795,3,102.71
186,61,95,1,15.06
187,61,280,1,3.25
188,61,723,2,47.45
189,62,768,3,54.73
190,62,752,1,119.3
191,62,773,3,1006.41
192,62,397,3,129.88
193,62,352,1,1885.15
194,63,431,2,128.38
195,64,397,1,129.88
196,64,768,3,54.73
197,64,529,2,27.92
198,65,520,1,52.55
199,65,3,2,473.68
200,65,343,3,13.18
201,65,575,3,18.05
202,65,382,3,341.01
203,66,639,3,48.21
204,66,353,1,160.22
205,66,698,1,101.22
206,66,278,3,492.58
207,66,570,3,79.19
208,67,783,2,35.68
209,67,358,2,226.07
210,67,555,1,157.83
211,67,628,3,6.44
212,67,458,2,43.84
213,68,286,1,32.19
214,69,690,1,27.78
215,70,54,2,48.4
216,70,680,2,40.58
217,70,268,1,21.72
218,70,346,2,369.59
219,71,638,3,26.62
220,71,528,1,73.59
221,71,81,1,156.64
222,72,39,3,41.29
223,72,349,1,63.13
224,73,736,3,233.38
225,73,27,1,79.02
226,74,588,3,60.03
227,75,389,3,190.95
228,75,764,3,57.76
229,75,464,2,309.09
230,76,424,2,433.13
231,76,335,3,122.54
232,76,527,3,167.48
233,76,160,2,48.77
234,76,471,1,76.85
235,77,758,2,42.96
236,77,759,1,36.69
237,77,350,2,45.32
238,77,793,2,18.34
239,78,468,3,66.09
240,78,761,2,55.11
241,79,351,1,35.2
242,79,251,3,12.06
243,79,704,2,28.7
244,80,9,2,16.48
245,80,138,1,6.32
246,80,558,2,313.13
247,81,138,1,6.32
248,81,584,2,35.9
249,82,442,3,312.52
250,82,27,1,79.02
251,82,73,1,1633.72
252,83,434,3,819.02
253,83,373,3,22.95
254,83,276,2,32.74
255,83,594,1,43.65
256,83,109,2,33.7
257,84,69,2,121.23
258,84,722,3,32.16
259,84,546,2,6.51
260,84,493,2,147.7
261,85,1,2,35.94
262,86,659,3,11.94
263,86,775,1,33.09
264,86,117,1,35.79
265,87,676,2,358.85
266,88,795,1,102.71
267,88,210,3,62.92
268,88,94,3,622.2
269,88,756,3,816.06
270,89,662,2,404.53
271,89,294,3,12.5
272,89,654,2,64.82
273,89,400,3,41.71
274,89,543,1,1296.47
275,90,691,1,126.83
276,90,742,3,9.29
277,90,9,2,16.48
278,90,589,2,37.21
279,91,18,3,164.57
280,92,656,1,129.98
281,92,530,2,184.51
282,92,486,1,69.07
283,93,400,1,41.71
284,93,515,2,110.89
285,93,738,1,25.9
286,93,68,1,38.02
287,94,720,3,17.29
288,94,282,3,25.16
289,94,443,3,119.17
290,94,353,1,160.22
291,94,236,3,98.66
292,95,698,3,101.22
293,95,787,1,19.1
294,96,644,3,38.65
295,96,101,3,31.91
296,97,256,2,25.7
297,97,625,1,112.38
298,98,260,1,103.85
299,98,138,3,6.32
300,99,32,2,114.51
301,100,654,2,64.82
302,100,341,1,30.36
303,100,543,3,1296.47
304,100,379,2,56.65
305,101,128,1,82.26
306,101,314,2,68.19
307,101,638,1,26.62
308,101,730,2,21.17
309,101,495,1,1536.05
310,102,418,3,99.6
311,102,629,2,18.03
312,103,443,1,119.17
313,103,233,2,1644.66
314,103,17,2,449.12
315,104,110,2,96.13
316,105,2,1,42.66
